number,name,status
PEP 702,Marking deprecations using the type system,Accepted
PEP 687,Isolating modules in the standard library,Accepted
PEP 686,Make UTF-8 mode default,Accepted
PEP 685,Comparison of extra names for optional distribution dependencies,Accepted
PEP 658,Serve Distribution Metadata in the Simple Repository API,Accepted
PEP 667,Consistent views of namespaces,Accepted
PEP 696,Type Defaults for Type Parameters,Accepted
PEP 705,TypedDict: Read-only items,Accepted
PEP 625,Filename of a Source Distribution,Accepted
PEP 649,Deferred Evaluation Of Annotations Using Descriptors,Accepted
PEP 703,Making the Global Interpreter Lock Optional in CPython,Accepted
PEP 590,Vectorcall: a fast calling protocol for CPython,Accepted
PEP 8105,2024 Term Steering Council election,Final
PEP 691,JSON-based Simple API for Python Package Indexes,Accepted
PEP 708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional
PEP 668,Marking Python base environments as “externally managed”,Accepted
PEP 563,Postponed Evaluation of Annotations,Accepted
PEP 8104,2023 Term Steering Council election,Final
PEP 8102,2021 Term Steering Council election,Final
PEP 8101,2020 Term Steering Council election,Final
PEP 458,Secure PyPI downloads with signed repository metadata,Accepted
PEP 646,Variadic Generics,Accepted
PEP 596,Python 3.9 Release Schedule,Active
PEP 569,Python 3.8 Release Schedule,Active
PEP 514,Python registration in the Windows registry,Active
PEP 579,Refactoring C functions and methods,Final
PEP 8100,January 2019 Steering Council election,Final
PEP 482,Literature Overview for Type Hints,Final
PEP 457,Notation For Positional-Only Parameters,Final
PEP 434,IDLE Enhancement Exception for All Branches,Active
PEP 452,API for Cryptographic Hash Functions v2.0,Final
PEP 8103,2022 Term Steering Council election,Final
PEP 483,The Theory of Type Hints,Final
PEP 430,Migrating to Python 3 as the default online documentation,Final
PEP 291,Backward Compatibility for the Python 2 Standard Library,Final
PEP 394,The “python” Command on Unix-Like Systems,Active
PEP 272,API for Block Encryption Algorithms v1.0,Final
PEP 290,Code Migration and Modernization,Active
PEP 248,Python Database API Specification v1.0,Final
PEP 257,Docstring Conventions,Active
PEP 249,Python Database API Specification v2.0,Final
PEP 247,API for Cryptographic Hash Functions,Final
PEP 287,reStructuredText Docstring Format,Active
PEP 20,The Zen of Python,Active
PEP 732,The Python Documentation Editorial Board,Active
PEP 609,Python Packaging Authority (PyPA) Governance,Active
PEP 399,Pure Python/C Accelerator Module Compatibility Requirements,Final
PEP 676,PEP Infrastructure Process,Active
PEP 101,Doing Python Releases 101,Active
PEP 731,C API Working Group Charter,Active
PEP 729,Typing governance process,Active
PEP 602,Annual Release Cycle for Python,Active
PEP 10,Voting Guidelines,Active
PEP 11,CPython platform support,Active
PEP 4,Deprecation of Standard Modules,Active
PEP 7,Style Guide for C Code,Active
PEP 13,Python Language Governance,Active
PEP 2,Procedure for Adding New Modules,Active
PEP 12,Sample reStructuredText PEP Template,Active
PEP 8,Style Guide for Python Code,Active
PEP 333,Python Web Server Gateway Interface v1.0,Final
PEP 387,Backwards Compatibility Policy,Active
